Date,Price,Volume,RSI,ROC,OBV
2021/2/22,124.5013657,103916400,27.47827245,-7.8677804,-266104000
2021/2/23,124.3630142,158273000,27.24520821,-8.070996075,-424377000
2021/2/24,123.8590851,111039900,26.36793903,-7.837643962,-535416900
2021/2/25,119.5509415,148199500,20.33860563,-10.6359377,-683616400
2021/2/26,119.8177414,164560400,21.53520339,-10.264196,-519056000
2021/3/1,126.2700653,116307900,43.59980258,-5.599464026,-402748100
2021/3/2,123.6318207,102260900,38.7959353,-6.059023613,-505009000
2021/3/3,120.6082077,112966300,34.15169613,-6.710500956,-617975300
2021/3/4,118.7011719,178155000,31.58362166,-7.38571317,-796130300
2021/3/5,119.9758224,153766600,35.09663291,-6.506506358,-642363700
2021/3/8,114.9760056,154376600,28.84092713,-7.65080773,-796740300
2021/3/9,119.6497498,129525800,39.66679624,-3.789924597,-667214500
2021/3/10,118.5529633,111943300,38.19815175,-4.283998887,-779157800
2021/3/11,120.5093994,103026500,42.30188787,0.801715097,-676131300
2021/3/12,119.5904617,88105100,40.92722768,-0.189687821,-764236400
2021/3/15,122.5152588,92403800,46.84764691,-2.973631565,-671832600
2021/3/16,124.0764694,115227900,49.7430667,0.359655581,-556604700
2021/3/17,123.2761002,111932600,48.29073297,2.212032255,-668537300
2021/3/18,119.096405,121229700,41.47976225,0.332964829,-789767000
2021/3/19,118.5628357,185549500,40.6907712,-1.177726251,-975316500
2021/3/22,121.9223938,111912300,47.46639108,6.041598168,-863404200
2021/3/23,121.0825119,95467100,46.05001912,1.197463554,-958871300
2021/3/24,118.6616364,88530500,42.14621013,0.091666284,-1047401800
2021/3/25,119.1556854,98844700,43.20438121,-1.123326476,-948557100
2021/3/26,119.7683182,94071200,44.55855201,0.148721263,-854485900
2021/3/29,119.9461746,80819200,44.96877676,-2.096950366,-773666700
2021/3/30,118.4738998,85671900,42.18611288,-4.515416667,-859338600
2021/3/31,120.6971436,118323800,47.47206127,-2.092016701,-741014800
2021/4/1,121.5370331,75089100,49.35588186,2.049287761,-665925700
2021/4/5,124.4025421,88651200,55.25225109,4.925410553,-577274500
2021/4/6,124.7088547,80171300,55.84407479,2.28543813,-497103200
2021/4/7,126.378746,83466700,59.02564413,4.37407025,-413636500
2021/4/8,128.8094788,88844600,63.18400882,8.551915109,-324791900
2021/4/9,131.4181061,106686700,67.0489207,10.29109153,-218105200
2021/4/12,129.6790161,91420000,62.34963641,8.27489113,-309525200
2021/4/13,132.8310852,91266500,66.88050987,10.74224386,-218258700
2021/4/14,130.4596252,87222800,60.93880042,10.11676447,-305481500
2021/4/15,132.9002533,89347100,64.44019967,10.11052075,-216134400
2021/4/16,132.5642853,84922400,63.59511382,9.073162243,-301056800
2021/4/19,133.2362061,94264200,64.59514063,7.100870923,-206792600
2021/4/20,131.5268097,94812300,60.07400109,5.467097773,-301604900
2021/4/21,131.9121399,68847100,60.74105608,4.378421241,-232757800
2021/4/22,130.3707275,84566500,56.6628013,1.212060474,-317324300
2021/4/23,132.7223969,78657500,60.96855108,0.992474181,-238666800
2021/4/26,133.1176453,66905100,61.65806111,2.651646545,-171761700
2021/4/27,132.7915649,66015800,60.70528349,-0.02975227,-237777500
2021/4/28,131.9911957,107760100,58.32300742,1.173980403,-345537600
2021/4/29,131.8923798,151101000,58.02026971,-0.758368408,-496638600
2021/4/30,129.8964081,109839500,52.13376057,-2.012515808,-606478100
2021/5/3,130.963562,75135100,54.77561064,-1.705725576,-531343000
2021/5/4,126.3293533,137564700,43.5378652,-3.951632653,-668907700
2021/5/5,126.5763779,84000900,44.19508944,-4.044936295,-584906800
2021/5/6,128.1968689,78128300,48.43541338,-1.667443822,-506778500
2021/5/7,128.8798218,78973300,50.15443729,-2.895197167,-427805200
2021/5/10,125.5541534,88071200,42.69098985,-5.681810106,-515876400
2021/5/11,124.6237411,126142800,40.859097,-6.150860407,-642019200
2021/5/12,121.5158157,112172300,35.39535757,-7.936423252,-754191500
2021/5/13,123.6933441,105861300,41.31637164,-6.216458949,-648330200
2021/5/14,126.1480026,81918000,47.19187469,-2.885688305,-566412200
2021/5/17,124.9800568,74244600,44.8889292,-4.568832091,-640656800
2021/5/18,123.5745773,63342900,42.21893588,-2.180630177,-703999700
2021/5/19,123.416214,92612000,41.91640493,-2.496645845,-796611700
2021/5/20,126.0094299,76857100,48.43276503,-1.706312318,-719754600
2021/5/21,124.1486511,79295400,44.56888111,-3.670994101,-799050000
2021/5/24,125.8015823,63092900,48.49933206,0.197069461,-735957100
2021/5/25,125.6036377,72009500,48.05984635,0.786284007,-807966600
2021/5/26,125.5541534,56575900,47.94288533,3.323302142,-864542500
2021/5/27,124.0001831,94625600,44.29707408,0.248064268,-959168100
2021/5/28,123.3370209,71311100,42.80122441,-2.228320459,-1030479200
2021/6/1,123.0103912,67637100,42.04807777,-1.575983864,-1098116300
2021/6/2,123.7824402,59278900,44.53255731,0.168208428,-1038837400
2021/6/3,122.2779541,76229200,40.85669813,-0.922293636,-1115066600
2021/6/4,124.6039505,75169300,48.00276429,-1.11537639,-1039897300
2021/6/7,124.6138458,71057600,48.03153212,0.374707818,-968839700
2021/6/8,125.4452667,74403800,50.50911184,-0.283236193,-894435900
2021/6/9,125.8312683,56877900,51.6613314,0.181229317,-837558000
2021/6/10,124.821701,71186400,48.48209909,-0.583375677,-908744400
2021/6/11,126.0490341,53522400,52.32336298,1.652296764,-855222000
2021/6/14,129.147049,96906500,60.35816952,4.71069273,-758315500
