Date,Price,Volume,RSI,ROC,OBV
2021/2/22,445.0047302,1696700,55.23394571,2.220981431,8334000
2021/2/23,440.8383484,2130300,52.49061147,-0.169227412,6203700
2021/2/24,449.2272339,1512500,57.10975122,1.316804506,7716200
2021/2/25,427.0684814,2314800,44.73682235,-2.742265872,5401400
2021/2/26,438.9419861,2264000,50.87806199,-1.780968211,7665400
2021/3/1,457.3545837,2467700,58.56731409,0.670338689,10133100
2021/3/2,448.8815918,1854600,54.35109366,-1.762313312,8278500
2021/3/3,432.5802002,2399100,47.29653434,-4.025023877,5879400
2021/3/4,414.3917542,3457500,40.91532228,-8.208835816,2421900
2021/3/5,420.5105896,4241400,43.6687949,-8.127200635,6663300
2021/3/8,393.5222168,4524300,35.75424662,-11.56898117,2139000
2021/3/9,414.401123,3788400,44.18255817,-5.997033933,5927400
2021/3/10,408.7866821,1991400,42.56545801,-9.002248463,3936000
2021/3/11,423.8269653,2617000,48.05074743,-0.759015534,6553000
2021/3/12,421.4728394,1890600,47.28945923,-3.979830429,4662400
2021/3/15,439.7826843,3124100,53.46491627,-3.842073533,7786500
2021/3/16,446.7049561,3119000,55.58358844,-0.484901983,10905500
2021/3/17,451.7588196,2375400,57.1186004,4.433540734,13280900
2021/3/18,433.5984497,2872800,50.38078527,4.634912583,10408100
2021/3/19,446.6944275,10860200,54.54489462,6.22667741,21268300
2021/3/22,447.4664307,3180500,54.78578148,13.70804787,24448800
2021/3/23,436.9030762,2471200,50.81742613,5.429993278,21977600
2021/3/24,430.510376,2088200,48.52661211,5.314188255,19889400
2021/3/25,434.6811523,1753700,50.10689539,2.560994911,21643100
2021/3/26,453.8308411,2892500,56.68262336,7.677363447,24535600
2021/3/29,444.9620667,2841000,53.18646566,1.177714018,21694600
2021/3/30,429.4653625,2793500,47.65534531,-3.859279659,18901100
2021/3/31,436.5264587,2868400,50.19682408,-3.371790473,21769500
2021/4/1,448.097229,2352800,54.12728446,3.343826369,24122300
2021/4/5,459.8939514,2296600,57.78520945,2.954933644,26418900
2021/4/6,455.553772,1806300,56.01543047,1.807362688,24612600
