Date,Price,Volume,RSI,ROC,OBV
2021/2/22,39.29254913,5745968,86.74565633,1.457107327,9263038
2021/2/23,39.19039154,5043975,84.68199748,0.775578108,4219063
2021/2/24,39.74010849,3969676,86.53790367,2.63852825,8188739
2021/2/25,38.76229095,5594047,70.23664865,0.125663284,2594692
2021/2/26,39.43849182,6943776,73.89836699,1.974838504,9538468
2021/3/1,40.42116928,4621753,78.11258934,3.797624467,14160221
2021/3/2,40.23631287,2937205,75.63857992,4.116311049,11223016
2021/3/3,40.66927338,5848564,77.44077936,5.475654748,17071580
2021/3/4,40.28009796,5422791,72.26573066,3.902621569,11648789
2021/3/5,41.52060318,6930557,77.44070433,5.670423772,18579346
2021/3/8,41.40385818,6884981,76.0033998,5.373306385,11694365
2021/3/9,42.07518387,4318897,78.47716589,7.360968376,16013262
2021/3/10,42.65408707,4408866,80.35761074,7.332588378,20422128
2021/3/11,43.1113739,7447286,81.71651119,11.21988107,27869414
2021/3/12,43.20867157,2858088,82.00182334,9.55964484,30727502
2021/3/15,43.44217682,5621472,82.69956879,7.473825205,36348974
2021/3/16,43.33515549,5880329,81.14682983,7.701606832,30468645
2021/3/17,44.40540314,6162468,84.31785255,9.186615473,36631113
2021/3/18,42.86327744,6201731,66.86603345,6.413041687,30429382
2021/3/19,42.62976837,7791772,64.6829048,2.671360979,22637610
2021/3/22,42.49355316,6212385,63.3828781,2.631868199,16425225
2021/3/23,41.7151947,5250745,56.40649104,-0.855585486,11174480
2021/3/24,42.00708008,5446269,58.26177323,-1.516869855,16620749
2021/3/25,41.83195114,3417039,56.70250562,-2.967715116,13203710
2021/3/26,43.29137421,5169063,65.08785978,0.191402868,18372773
2021/3/29,42.91192245,4094567,61.73986801,-1.220598052,14278206
2021/3/30,43.09678268,4601036,62.74526477,-0.550067953,18879242
2021/3/31,42.88273621,3239271,60.75450531,-3.429012741,15639971
2021/4/1,43.33515549,3805720,63.39789729,1.100891206,19445691
2021/4/5,43.47136688,5019707,64.18015964,1.974203808,24465398
2021/4/6,43.52974701,4943154,64.53005899,2.438473064,29408552
2021/4/7,44.51728821,5613974,69.88837741,6.717201072,35022526
2021/4/8,45.03781891,6963309,72.26657215,7.214828607,41985835
2021/4/9,45.67023468,4034193,74.8640377,9.175482936,46020028
2021/4/12,45.46105194,4027090,72.44704813,5.011801483,41992938
2021/4/13,45.01348877,3293332,67.43086436,4.89739493,38699606
2021/4/14,45.09619522,5620682,67.87353972,4.639354523,44320288
2021/4/15,48.12207031,26547702,79.07779275,12.2178167,70867990
2021/4/16,49.33825302,11333504,81.82189972,13.8527195,82201494
2021/4/19,50.31119919,7467805,83.66743596,15.73410913,89669299
2021/4/20,49.36744308,5472510,75.64493827,13.41082013,84196789
2021/4/21,49.33338547,4750787,75.36409965,10.8184875,79446002
2021/4/22,48.88582993,3146540,71.6020891,8.543955081,76299462
2021/4/23,49.33338547,5709862,73.0508137,8.02087139,82009324
2021/4/26,48.83231735,5005304,68.81793714,7.415722399,77004020
2021/4/27,48.99285507,3814598,69.429137,8.840386318,80818618
2021/4/28,48.36530304,1792668,64.13685022,7.249187659,79025950
2021/4/29,48.64745712,2896167,65.41338017,1.091779316,81922117
2021/4/30,47.83504486,2448888,58.91125044,-3.046739737,79473229
2021/5/3,47.56748581,5167682,56.9050795,-5.45348436,74305547
2021/5/4,46.95452499,4061618,52.494635,-4.887670781,70243929
2021/5/5,47.86909866,4055107,57.75566168,-2.968145791,74299036
2021/5/6,48.53556442,3599936,61.13355905,-0.716496996,77898972
2021/5/7,49.16311646,4147641,64.04863518,-0.345139525,82046613
2021/5/10,48.49178696,3178306,58.95458317,-0.697346376,78868307
2021/5/11,47.58694458,7071824,52.85296867,-2.869623519,71796483
2021/5/12,45.77239609,4925595,43.19763124,-5.361089022,66870888
2021/5/13,46.8961525,2962854,49.36673771,-3.599992127,69833742
2021/5/14,47.8836937,1881058,54.08594637,0.101701241,71714800
2021/5/17,47.86423492,2311567,53.97918738,0.623848644,69403233
2021/5/18,47.7474823,1869220,53.29939196,1.688777186,67534013
2021/5/19,47.0907402,3021847,49.52142701,-1.626014446,64512166
2021/5/20,47.97125626,2802055,54.20797067,-1.162669422,67314221
2021/5/21,47.90315247,2296769,53.79198168,-2.562823678,65017452
2021/5/24,48.71556473,3656364,57.93858447,0.461475613,68673816
2021/5/25,48.40908432,4078783,55.90059266,1.727658179,64595033
2021/5/26,48.48205566,3318586,56.29477956,5.919855214,67913619
2021/5/27,48.50151443,6532208,56.40668136,3.423227393,74445827
2021/5/28,47.98584747,6509124,52.56567836,0.213337298,67936703
2021/6/1,50.03390884,8253256,63.26492828,4.532975244,76189959
2021/6/2,49.03177643,4747433,56.54421117,2.689763034,71442526
2021/6/3,49.45500565,5104151,58.5470379,5.020658906,76546677
2021/6/4,50.36471176,4336851,62.54314573,4.989353401,80883528
2021/6/7,50.02904892,2438431,60.2357464,4.437905116,78445097
2021/6/8,50.54957581,2725305,62.54352693,3.76473328,81170402
2021/6/9,50.57389832,2267372,62.6525986,4.471916843,83437774
2021/6/10,50.49119949,3439925,61.99161053,4.144097856,79997849
