Date,Price,Volume,RSI,ROC,OBV
2021/2/22,104.9236374,6149643,57.49884385,0.562467689,2761127
2021/2/23,104.7934113,4739740,56.77843877,-1.041167447,-1978613
2021/2/24,106.963768,6087720,64.7134047,0.909091629,4109107
2021/2/25,106.3213501,5953623,61.13565167,0.18815809,-1844516
2021/2/26,103.2481232,9467346,47.58287064,-1.637578644,-11311862
2021/3/1,104.819458,5977367,53.28513991,-0.049666358,-5334495
2021/3/2,104.4635315,4732418,51.90766942,0.216553779,-10066913
2021/3/3,106.225853,7744898,57.73378417,1.992164983,-2322015
2021/3/4,104.2725296,8439651,50.44001356,-0.513540856,-10761666
2021/3/5,106.6338882,7268968,57.43998599,3.227175656,-3492698
2021/3/8,108.3528061,7572203,61.68264849,3.268251832,4079505
2021/3/9,107.8058701,5867014,59.64523772,2.874664318,-1787509
2021/3/10,111.0093079,7581199,66.60323729,3.782159073,5793690
2021/3/11,110.3755798,5383657,64.24336141,3.813184965,410033
2021/3/12,110.7835846,4194565,65.10070995,7.298400392,4604598
2021/3/15,111.6257019,3577948,66.86658117,6.493301936,8182546
2021/3/16,111.3305359,4867247,65.61340124,6.573590129,3315299
2021/3/17,112.0163574,4488804,67.15375166,5.451125403,7804103
2021/3/18,112.910553,6104142,69.09745773,8.284083458,13908245
2021/3/19,111.903511,10297870,64.47040004,4.941789978,3610375
2021/3/22,113.3359299,4356485,67.77585606,4.598979906,7966860
2021/3/23,113.2578049,4556794,67.40751167,5.057178066,3410066
2021/3/24,113.3967056,4189230,67.74317196,2.150628458,7599296
2021/3/25,115.5236588,5809484,72.42611061,4.664146658,13408780
2021/3/26,118.3972092,5823710,77.23468243,6.87252051,19232490
2021/3/29,117.9457703,4835344,75.0212453,5.661839748,14397146
2021/3/30,116.9560776,5010758,70.26689013,5.05300872,9386388
2021/3/31,115.6885986,5172575,64.6189232,3.278308004,4213813
2021/4/1,115.6625519,4261404,64.50418004,2.437326564,-47591
2021/4/5,118.0065384,5722980,69.71576563,5.453830078,5675389
2021/4/6,116.5220184,3787566,63.36989432,2.811190207,1887823
2021/4/7,117.1384048,3112896,64.80249084,3.426342211,5000719
2021/4/8,117.3033524,4275211,65.19478106,3.445114835,9275930
2021/4/9,117.8329086,3162999,66.48620889,1.998941085,12438929
2021/4/12,116.8432312,3926684,61.86617392,-1.312512328,8512245
2021/4/13,113.8828583,8403041,50.55058163,-3.44472886,109204
2021/4/14,115.1416779,6137928,54.37226492,-1.551351376,6247132
2021/4/15,115.0982666,4062664,54.21665055,-0.510276759,2184468
2021/4/16,115.97509,5535223,56.89980703,0.270215504,7719691
2021/4/19,115.5670624,8575736,55.27635315,-2.067238008,-856045
2021/4/20,119.9424896,16192708,66.36034603,2.935471971,15336663
2021/4/21,124.6217728,12456814,73.83007772,6.388483717,27793477
2021/4/22,122.6510925,7428064,67.07492463,4.55889799,20365413
2021/4/23,123.6494598,4765576,68.64034857,4.936270585,25130989
2021/4/26,122.9028549,4927497,66.10900557,5.186114468,20203492
2021/4/27,123.2848434,4062664,66.78394336,8.255838772,24266156
2021/4/28,124.1443176,3941433,68.31301404,7.818749855,28207589
2021/4/29,125.2207947,4554179,70.16549981,8.794683339,32761768
2021/4/30,123.1719894,9280321,62.65744841,6.205556221,23481447
2021/5/3,125.663559,5997241,67.24738431,8.736482848,29478688
2021/5/4,126.5316925,6642623,68.69137641,5.493635243,36121311
2021/5/5,126.071579,5229895,67.00524744,1.163365102,30891416
2021/5/6,128.8496399,7848661,71.54659071,5.053805258,38740077
2021/5/7,127.6908798,7325661,67.38066801,3.268449363,31414416
2021/5/10,128.3141479,7304636,68.44495119,4.402902629,38719052
2021/5/11,126.6023712,7454214,62.42114802,2.690945357,31264838
2021/5/12,124.0390701,6233742,54.66296962,-0.084778345,25031096
2021/5/13,126.5584717,4807207,59.93390274,1.068254682,29838303
2021/5/14,127.0061646,2873780,60.80591469,3.112862857,32712083
2021/5/17,127.3836288,4471755,61.56544933,1.368789727,37183838
2021/5/18,126.3302383,4000009,58.17718,-0.159212414,33183829
2021/5/19,125.6981812,4498532,56.17930242,-0.296179226,28685297
2021/5/20,126.3039017,4301675,57.67923024,-1.975743372,32986972
2021/5/21,127.0588455,4219041,59.53816315,-0.494972157,37206013
2021/5/24,127.0412827,3449290,59.4727156,-0.991991387,33756723
2021/5/25,126.2248764,4118311,56.37067981,-0.298173572,29638412
2021/5/26,125.864975,3225655,55.00854184,1.472040095,26412757
2021/5/27,126.2512283,5889294,56.23092833,-0.242767903,32302051
2021/5/28,126.1809921,2651192,55.93333537,-0.64971053,29650859
2021/6/1,126.5760269,2528705,57.30205153,-0.633991931,32179564
2021/6/2,127.9191208,2915097,61.66206323,1.257721403,35094661
2021/6/3,127.7698975,4320608,60.91777743,1.648167292,30774053
2021/6/4,129.4114532,3261323,65.80722347,2.460376547,34035376
2021/6/7,129.9381561,3621984,67.22409297,2.266123697,37657360
2021/6/8,130.8598938,5313785,69.59830556,3.005803362,42971145
2021/6/9,132.2644501,5547252,72.82827613,4.784772892,48518397
2021/6/10,132.1503143,4977391,72.15739002,4.99371597,43541006
2021/6/11,132.799942,3596462,73.64548723,5.187049481,47137468
2021/6/14,131.7026367,3498661,67.11989051,4.375971768,43638807
2021/6/15,131.1144714,2628912,63.85387714,3.585548251,41009895
2021/6/16,129.7713623,4057329,57.02950195,1.447978617,36952566
2021/6/17,127.8137817,4568300,48.83698264,0.034346335,32384266
2021/6/18,125.6367493,9577699,41.66809906,-2.916823731,22806567
2021/6/21,128.7355042,4482633,52.3826692,-0.925557214,27289200
2021/6/22,128.4809418,2549102,51.54504878,-1.817938222,24740098
2021/6/23,126.944725,3349920,46.6927044,-4.022036937,21390178
2021/6/24,127.6733246,3775746,49.1382569,-3.387801057,25165924
2021/6/25,128.9023132,3759533,53.05082543,-2.934962715,28925457
2021/6/28,127.5416412,4067789,48.59383077,-3.159386621,24857668
2021/6/29,127.7698975,2540211,49.36238947,-2.550880874,27397879
2021/6/30,128.6828461,3394375,52.42604173,-0.838795414,30792254
2021/7/1,128.9023132,2809661,53.15970003,0.851654242,33601915
2021/7/2,122.9154282,17584515,36.58505294,-2.166023175,16017400
2021/7/6,121.8269043,8466010,34.48005609,-5.366507009,7551390
2021/7/7,122.7398529,4246446,37.71682408,-4.468436165,11797836
2021/7/8,123.5474701,5739820,40.51631969,-2.676168658,17537656
2021/7/9,124.232193,4083689,42.8612698,-2.695262776,21621345
2021/7/12,123.7054749,3496360,41.50579146,-4.031609867,18124985
2021/7/13,123.1436539,3309858,40.05085604,-3.448275656,14815127
2021/7/14,122.7398529,4606061,38.99288338,-3.936799399,10209066
2021/7/15,123.2929001,3807126,41.28070921,-4.188550493,14016192
2021/7/16,121.9322433,4298328,37.54974932,-5.407249653,9717864
2021/7/19,121.0719528,8977086,35.37291428,-1.499791661,740778
2021/7/20,122.871521,14237838,42.8379839,0.857459775,14978616
2021/7/21,124.0390701,5024984,47.10682938,1.058512939,20003600
2021/7/22,123.5211334,3466653,45.48409058,-0.021317045,16536947
2021/7/23,124.074173,4680013,47.56130259,-0.12719732,21216960
2021/7/26,125.329483,4441630,52.02930197,1.312802187,25658590
2021/7/27,125.3119354,3281302,51.96265137,1.760774094,22377288
2021/7/28,124.4516449,2660815,48.67082642,1.394650516,19716473
2021/7/29,124.5921173,2793761,49.23632185,1.053764834,22510234
2021/7/30,123.7406006,3698238,45.93281857,1.48308371,18811996
2021/8/2,124.1444244,3064257,47.72414109,2.537723682,21876253
2021/8/3,126.4706726,4272596,56.63684859,2.929199201,26148849
2021/8/4,125.3207169,2960285,51.92397116,1.03326051,23188564
2021/8/5,125.329483,2884240,51.95679072,1.464000175,26072804
2021/8/6,126.4882431,4002833,56.21205744,1.945666912,30075637
2021/8/9,125.4226913,5129689,51.67915961,0.07437062,24945948
2021/8/10,125.5381393,5543695,52.12957197,0.180512668,30489643
2021/8/11,126.2041168,4455960,54.74988586,1.40815489,34945603
2021/8/12,127.0387573,2184780,57.86286099,1.96371975,37130383
2021/8/13,127.1364517,1997965,58.22512568,2.744330575,39128348
2021/8/16,127.5004883,2913319,59.6183004,2.703354466,42041667
2021/8/17,126.461586,3215195,54.07577644,-0.007184756,38826472
2021/8/18,123.8421631,3672192,43.17663306,-1.179815923,35154280
2021/8/19,122.5546341,4351465,39.01419027,-2.214043233,30802815
2021/8/20,123.5224991,2780059,43.42922459,-2.344679589,33582874
2021/8/23,123.9753418,3179422,45.42014966,-1.153977428,36762296
2021/8/24,124.1706924,2474418,46.2981689,-1.089268095,39236714
2021/8/25,124.1884689,2105389,46.38269532,-1.597133231,41342103
2021/8/26,123.2294769,2613640,42.49661795,-2.998518307,38728463
2021/8/27,123.788887,2572637,45.37184402,-2.633048706,41301100
2021/8/30,123.3981781,2087293,43.72732379,-3.217485859,39213807
2021/8/31,124.6146774,4429915,49.82523837,-1.460450266,43643722
2021/9/1,123.6912003,2588327,45.7704523,-0.12189938,41055395
2021/9/2,124.32164,2840413,48.83185424,1.441810776,43895808
2021/9/3,123.9398346,2009575,47.09777885,0.337861939,41886233
2021/9/7,122.5901413,3436110,41.48891927,-1.117319364,38450123
2021/9/8,123.1317902,3122728,44.3529879,-0.836672698,41572851
2021/9/9,122.3060074,3669682,41.05362928,-1.515810255,37903169
2021/9/10,121.666687,4157955,38.65610954,-1.26819488,33745214
2021/9/13,122.6700821,4334729,44.16720705,-0.903800784,38079943
2021/9/14,120.9563293,4659198,37.90380279,-1.978836959,33420745
2021/9/15,121.8265076,3403579,42.37253902,-2.237432956,36824324
2021/9/16,121.1427917,2765624,39.940422,-2.060298957,34058700
2021/9/17,120.0772705,5890340,36.43095103,-3.414023099,28168360
2021/9/20,119.2603531,4990152,33.96670983,-3.775607351,23178208
2021/9/21,118.0704956,4261927,30.70854251,-3.686793769,18916281
2021/9/22,119.544487,3767901,38.56971166,-2.913385046,22684182
2021/9/23,121.4091721,3151807,46.79342518,-0.73327169,25835989
2021/9/24,122.0840225,3100762,49.43187601,0.343015431,28936751
2021/9/27,123.0341339,3459017,52.96801001,0.296773111,32395768
2021/9/28,122.0662689,4513072,49.19411379,0.917636622,27882696
2021/9/29,123.5846481,3947499,54.65267429,1.443151084,31830195
2021/9/30,123.3626709,6090230,53.74359105,1.832448401,25739965
2021/10/1,127.2607727,6907889,64.81260185,5.982399639,32647854
2021/10/4,127.9622269,7689251,66.37204024,7.296535315,40337105
2021/10/5,127.1098251,7297524,62.73363374,7.655874977,33039581
2021/10/6,126.4083176,5573506,59.8269637,5.741653788,27466075
2021/10/7,125.91996,3999695,57.81855208,3.715360123,23466380
2021/10/8,127.1719666,3902940,61.39651362,4.167575679,27369320
2021/10/11,126.4704819,2921792,58.40716484,2.79300374,24447528
2021/10/12,124.7300949,3293436,51.68362257,2.182278538,21154092
2021/10/13,124.9876175,3013003,52.55395706,1.135229482,24167095
2021/10/14,127.3229294,4410668,59.65185367,3.210256762,28577763
2021/10/15,128.4062195,3371049,62.45752707,0.90007844,31948812
2021/10/18,126.3728256,6437189,54.76019954,-1.242086266,25511623
2021/10/19,126.0709457,4539117,53.70205873,-0.817308492,20972506
2021/10/20,125.9998703,6474008,53.44023028,-0.323117397,14498498
2021/10/21,113.9504166,32913959,28.27315783,-9.50567603,-18415461
2021/10/22,113.5508347,12114981,27.80551057,-10.71079757,-30530442
2021/10/25,113.3377304,6667204,27.54384916,-10.38404478,-37197646
2021/10/26,112.8848724,8912861,26.96317247,-9.496683604,-46110507
2021/10/27,111.1444931,7294176,24.79937285,-11.07559666,-53404683
2021/10/28,111.7394257,6802138,26.95727389,-12.23935374,-46602545
2021/10/29,111.0823441,6188973,26.06756727,-13.49146131,-52791518
2021/11/1,112.1301193,6177153,30.0330608,-11.27038683,-46614365
2021/11/2,112.0413284,4722062,29.88676692,-11.12835097,-51336427
2021/11/3,112.8848724,5670784,33.21511501,-10.40873918,-45665643
2021/11/4,112.244751,7208700,31.97467928,-1.496848928,-52874343
2021/11/5,114.8082199,6790500,41.41104222,1.107332463,-46083843
2021/11/8,115.6720123,5625300,44.21897398,2.059580612,-40458543
2021/11/9,113.742569,7236600,39.64808832,0.759797584,-47695143
2021/11/10,113.1496201,6270300,38.33656849,1.804072246,-53965443
2021/11/11,113.1966705,4643300,38.51038292,1.304145663,-49322143
2021/11/12,111.9637222,5418300,35.67272554,0.793445782,-54740443
2021/11/15,111.8790131,5046300,35.47929399,-0.223941849,-59786743
2021/11/16,111.4931335,4750800,34.55996632,-0.489279173,-64537543
2021/11/17,111.1166458,4043300,33.64398507,-1.566398212,-68580843
2021/11/18,109.7989883,5046900,30.58832302,-2.178955018,-73627743
2021/11/19,109.2248764,5380200,29.33804169,-4.863191425,-79007943
2021/11/22,109.6201706,6416200,31.41668088,-5.231898031,-72591743
2021/11/23,109.9213409,4912800,33.03301323,-3.359540814,-67678943
2021/11/24,109.8648758,3220800,32.87657185,-2.903009538,-70899743
2021/11/26,108.9989777,3322000,30.49174559,-3.70831832,-74221743
2021/11/29,111.530777,8949800,43.41613385,-0.38668351,-65271943
2021/11/30,110.2131119,9252700,39.31851833,-1.489020272,-74524643
2021/12/1,110.0437012,5958300,38.81134173,-1.300019407,-80482943
2021/12/2,110.0248795,5267100,38.75153446,-0.982540779,-85750043
2021/12/3,111.8507843,6630100,47.24462378,1.868683847,-79119943
2021/12/6,112.8578568,4785600,51.25912041,3.326147363,-74334343
2021/12/7,114.4296341,5194000,56.78626889,4.387389178,-69140343
2021/12/8,115.7849426,5483900,60.90326187,5.334361494,-63656443
2021/12/9,116.302597,4601100,62.37758104,5.859671898,-59055343
2021/12/10,116.7920151,4966900,63.76868568,7.149642668,-54088443
2021/12/13,115.3708191,6847500,57.15933301,3.44303359,-60935943
2021/12/14,116.4814301,5716100,60.59634201,5.687452309,-55219843
2021/12/15,115.8696518,4990000,57.84341233,5.294215444,-60209843
2021/12/16,118.5238037,7280500,65.22475446,7.724547664,-52929343
2021/12/17,119.9073486,10379000,68.33700172,7.202957388,-42550343
2021/12/20,119.5873413,4941400,66.84683092,5.9627967,-47491743
2021/12/21,121.3850098,4856000,70.71070849,6.07829932,-42635743
2021/12/22,122.119133,3923200,72.13875666,5.470651213,-38712543
2021/12/23,122.9473877,3649000,73.69694451,5.713363947,-35063543
2021/12/27,123.879158,4293900,75.36604727,6.068174215,-30769643
2021/12/28,124.8297653,3445200,76.97157587,8.198733703,-27324443
2021/12/29,125.5074081,4239900,78.0688851,7.748855834,-23084543
2021/12/30,126.0344925,3158100,78.91065216,8.772651459,-19926443
2021/12/31,125.7991867,3362100,77.48089263,6.138330671,-23288543
2022/1/3,128.0391998,4605900,81.00856188,6.781778839,-18682643
2022/1/4,129.9027863,7300000,83.34599427,8.625866947,-11382643
2022/1/5,130.0910034,8956900,83.56599243,7.172214814,-2425743
2022/1/6,127.3803711,9908100,69.35636362,4.308283206,-12333843
2022/1/7,126.9003677,5238100,67.17796017,3.21518018,-17571943
2022/1/10,127.0886078,5432800,67.60764202,2.590790751,-12139143
2022/1/11,125.0556488,11105300,58.67400258,0.180953223,-23244443
2022/1/12,125.733284,5352000,60.54546693,0.179970137,-17892443
2022/1/13,126.8344879,4868300,63.44273321,0.634743241,-13024143
2022/1/14,126.3168335,5310300,61.16879687,0.411486595,-18334443
2022/1/18,125.1215286,5246700,56.16303238,-2.278732769,-23581143
2022/1/19,123.8415146,4103700,51.31968943,-4.666005897,-27684843
2022/1/20,123.1262207,5278200,48.78771335,-5.35377738,-32963043
2022/1/21,121.7426605,5907000,44.24098894,-4.42588644,-38870043
2022/1/24,121.2438431,13484000,42.69607469,-4.457453323,-52354043
2022/1/25,128.0956726,19715700,62.21478299,0.79241156,-32638343
2022/1/26,126.3638916,8336000,56.93610064,1.046128512,-40974343
2022/1/27,124.7262421,5497300,52.40774921,-0.800935042,-46471643
2022/1/28,126.589798,5471500,56.63446686,-0.192920668,-41000143
2022/1/31,125.7144928,5859000,54.19965575,-0.476849112,-46859143
2022/2/1,127.5591965,6206400,58.27131099,1.948240142,-40652743
2022/2/2,129.1780396,5357200,61.50548876,4.309156732,-35295543
2022/2/3,129.6768799,6100800,62.47074059,5.320279582,-29194743
2022/2/4,129.0839081,4142000,60.52782447,6.030135638,-33336743
2022/2/7,129.1686401,3759000,60.7158398,6.536247002,-29577743
2022/2/8,128.9615784,4181800,59.96416354,0.675983618,-33759543
2022/2/9,129.6862793,5393500,61.74906586,2.629222362,-28366043
2022/2/10,127.1811447,5978600,52.95951864,1.968232674,-34344643
2022/2/11,126.3905563,4176200,50.51571309,-0.157391544,-38520843
2022/2/14,123.9711304,5345300,43.84743897,-1.386763282,-43866143
2022/2/15,123.7711105,4394000,43.33810541,-2.969669018,-48260143
2022/2/16,123.0471802,4875600,41.46092732,-4.746053893,-53135743
2022/2/17,119.037056,6797000,32.9475108,-8.204873469,-59932743
2022/2/18,118.4464951,4609200,31.90840093,-8.240696445,-64541943
2022/2/22,118.0369034,5349700,31.17405075,-8.617987109,-69891643
2022/2/23,116.2747345,4086400,28.17025729,-9.837692771,-73978043
2022/2/24,116.1794891,6563200,28.01314158,-10.41497237,-80541243
2022/2/25,118.2845688,4460900,36.44953691,-6.995200387,-76080343
2022/2/28,116.6938477,6757300,33.27599023,-7.672019936,-82837643
2022/3/1,115.5889206,4873300,31.24126518,-6.761420786,-87710943
2022/3/2,117.9797592,4891400,39.81662961,-4.679081648,-82819543
2022/3/3,119.9514847,5206600,45.81812659,-2.515860576,-77612943
2022/3/4,120.6087341,4402400,47.69066508,1.320326808,-73210543
2022/3/7,120.0848389,5047400,46.31658455,1.383193154,-78257943
2022/3/8,119.713356,4887600,45.31947549,1.420278395,-83145543
2022/3/9,120.2277145,4403500,47.0201785,3.399689587,-78742043
2022/3/10,118.4464951,5326800,42.1330386,1.951296169,-84068843
2022/3/11,118.0750122,4119600,41.17191859,-0.177163075,-88188443
2022/3/14,118.0559616,3289200,41.12011455,1.167254298,-91477643
2022/3/15,119.6752472,4021200,47.2012633,3.535223426,-87456443
2022/3/16,121.0087891,4292800,51.63170792,2.56741484,-83163643
2022/3/17,121.8851089,3671900,54.34297373,1.612005281,-79491743
2022/3/18,122.6471329,7466000,56.62011694,1.690092146,-72025743
2022/3/21,122.0184708,3384600,54.21765342,1.610221503,-75410343
2022/3/22,122.9328918,2690200,57.07097483,2.689370622,-72720143
2022/3/23,122.2089691,2924500,54.19149246,1.647918357,-75644643
2022/3/24,123.1138687,2971100,57.10489022,3.940491152,-72673543
2022/3/25,125.1141815,3530200,62.74537058,5.961607947,-69143343
2022/3/28,125.2284698,2483500,63.04437494,6.075515495,-66659843
2022/3/29,125.6761551,5791000,64.25461849,5.014326721,-60868843
2022/3/30,125.8571396,2622900,64.75709665,4.006610233,-58245943
2022/3/31,123.8473129,4274000,55.43739564,1.60987999,-62519943
2022/4/1,123.9711304,4012400,55.85886501,1.079517692,-58507543
2022/4/4,124.0854492,2809800,56.27010429,1.693988166,-55697743
2022/4/5,122.7709579,3107200,50.44992736,-0.131725445,-58804943
2022/4/6,123.2472153,3958100,52.37208363,0.849566249,-54846843
2022/4/7,122.4471054,3538300,48.93746511,-0.541582612,-58385143
2022/4/8,121.6660309,3143300,45.7810648,-2.756003031,-61528443
2022/4/11,120.3705978,3202500,41.05183553,-3.879207352,-64730943
2022/4/12,119.999115,2691000,39.78270223,-4.517197472,-67421943
2022/4/13,120.1515121,3064900,40.59408748,-4.533415792,-64357043
2022/4/14,120.5515671,6384200,42.77394014,-2.661136339,-57972843
2022/4/18,120.1800919,4884200,41.25995665,-3.058001086,-62857043
2022/4/19,123.0186005,7971400,54.50965904,-0.859769426,-54885643
2022/4/20,131.7532806,17859200,73.96838621,7.316325329,-37026443
2022/4/21,133.2106476,9922300,75.82637706,8.084103393,-27104143
2022/4/22,131.6865845,6508600,70.18475502,7.545690063,-33612743
2022/4/25,132.4962463,5748300,71.40207197,8.901593465,-27864443
2022/4/26,129.7243958,4956200,62.06028676,7.770832812,-32820643
2022/4/27,128.6480408,4369100,58.84093087,7.207491307,-37189743
2022/4/28,129.2957764,4474300,60.17964325,7.610611018,-32715443
2022/4/29,125.933342,5078700,50.92078267,4.464292778,-37794143
2022/5/2,126.7239227,4213500,52.76106776,5.445020694,-33580643
2022/5/3,126.2286377,3688600,51.45926639,2.609391766,-37269243
2022/5/4,130.8769531,5932600,61.14804611,-0.665127662,-31336643
2022/5/5,129.4672089,5957400,57.40567378,-2.810164794,-37294043
2022/5/6,131.13414,7306400,60.48521514,-0.419514608,-29987643
2022/5/9,129.6108856,7647900,56.46755901,-2.177692423,-37635543
2022/5/10,124.4916306,8642400,45.5235048,-4.033755692,-46277943
2022/5/11,126.053421,5301100,48.78471997,-2.016835807,-40976843
2022/5/12,128.1261902,5384800,52.82143318,-0.904581893,-35592043
2022/5/13,128.8010559,4195100,54.09020866,2.27716813,-31396943
2022/5/16,130.1796875,4250400,56.65467964,2.727002681,-27146543
2022/5/17,133.3997192,4372900,61.99459577,5.681025854,-22773643
2022/5/18,128.1647644,6003000,50.99540501,-2.072319576,-28776643
2022/5/19,125.002594,5819700,45.71875475,-3.448452243,-34596343
2022/5/20,123.8649673,6914500,43.95657472,-5.543310588,-41510843
2022/5/23,126.4583511,3591500,48.8012733,-2.432306877,-37919343
2022/5/24,128.9938812,4189700,53.07253199,3.616508717,-33729643
2022/5/25,129.5626678,3299300,53.99962513,2.783936206,-30430343
2022/5/26,131.9728851,3929300,57.80380504,3.002270606,-26501043
2022/5/27,134.2673798,4608000,61.10176308,4.244005466,-21893043
2022/5/31,133.852829,7978100,60.18649926,2.821593407,-29871143
2022/6/1,134.4216461,3796500,61.0486723,0.766063741,-26074643
2022/6/2,135.1157837,3734800,62.12651867,5.423502567,-22339843
2022/6/3,136.1087646,4352200,63.67504889,8.884752147,-17987643
2022/6/6,137.7477264,4766900,66.13617074,11.20797865,-13220743
2022/6/7,137.6513062,2887100,65.85349328,8.851099921,-16107843
2022/6/8,135.7713623,3005700,60.43015181,5.254110516,-19113543
2022/6/9,133.0044556,3591000,53.45276736,2.656465614,-22704543
2022/6/10,131.2980194,4659500,49.64561652,-0.511366954,-27364043
2022/6/13,130.2568054,6486000,47.42598501,-2.98700574,-33850043
2022/6/14,130.8448944,4607800,48.81787847,-2.247195366,-29242243
2022/6/15,132.1367798,4606900,51.83460272,-1.699775593,-24635343
2022/6/16,130.7966919,5386400,48.63248166,-3.196585683,-30021743
2022/6/17,130.1700592,12968500,47.16523077,-4.363205749,-42990243
2022/6/21,132.898407,4089300,53.71319793,-3.520435207,-38900943
2022/6/22,132.1560516,3791500,51.8309675,-3.992155738,-42692443
2022/6/23,133.4672089,4547900,54.84095144,-1.69708354,-38144543
2022/6/24,136.9571686,11493000,61.70109142,2.971865112,-26651543
2022/6/27,137.670578,3936000,62.94043473,4.853507024,-22715543
2022/6/28,136.7643585,4064800,60.27233251,4.995940964,-26780343
2022/6/29,135.6556702,4161500,57.08410924,3.676701165,-30941843
2022/6/30,136.1184235,4878000,58.08081794,3.013274338,-26063843
2022/7/1,136.0509338,4011900,57.869725,4.017106142,-30075743
2022/7/5,132.676651,6273400,48.398575,1.925628529,-36349143
2022/7/6,133.1201324,3237000,49.56685253,0.166838316,-33112143
2022/7/7,135.7713623,3897100,55.98283292,2.735637622,-29215043
2022/7/8,135.4242859,2820800,54.99645341,1.466335471,-32035843
2022/7/11,135.9352417,3904700,56.21941729,-0.746165309,-28131143
2022/7/12,134.1806183,3235400,51.08548998,-2.535007674,-31366543
2022/7/13,132.2524567,4123200,46.10310016,-3.299033392,-35489743
2022/7/14,134.0649261,5298400,50.94621346,-1.172633637,-30191343
