Date,Price,Volume,RSI,ROC,OBV
2021/2/22,230.3553925,36446900,39.33476626,-2.952058935,-493000
2021/2/23,229.1373596,30228700,37.036058,-3.572686921,-30721700
2021/2/24,230.3946838,26339700,40.87699139,-3.560646507,-4382000
2021/2/25,224.9331818,39542200,31.80195802,-5.478382119,-43924200
2021/2/26,228.2631226,37819200,40.47859755,-4.734262858,-6105000
2021/3/1,232.7423553,25324000,49.74138989,-3.063092549,19219000
2021/3/2,229.7267151,22812500,44.6980532,-3.812619449,-3593500
2021/3/3,223.5285034,34029500,36.5053362,-6.814091582,-37623000
2021/3/4,222.7131958,44727800,35.58148258,-6.9978342,-82350800
2021/3/5,227.4969482,41872800,44.4625405,-3.888448704,-40478000
2021/3/8,223.3615265,35267400,39.4049821,-3.036119924,-75745400
2021/3/9,229.6383362,33080500,48.90508207,0.218635915,-42664900
2021/3/10,228.3024139,29746800,47.20863768,-0.908124208,-72411700
2021/3/11,232.9289856,29907600,53.25610252,3.554746245,-42504100
2021/3/12,231.5734253,22653700,51.3982838,1.450213551,-65157800
2021/3/15,230.6501007,26034900,50.1158663,-0.898957405,-91192700
2021/3/16,233.498703,28092200,53.93458696,1.641945698,-63100500
2021/3/17,232.8405609,29562100,52.9264928,4.165937387,-92662600
2021/3/18,226.6325378,34833000,44.48097334,1.759815815,-127495600
2021/3/19,226.2690735,46430700,44.03790261,-0.539732408,-173926300
2021/3/22,231.8091888,30127000,51.9022892,3.782057943,-143799300
2021/3/23,233.3709717,31638400,53.87034583,1.625440926,-112160900
2021/3/24,231.288559,25620100,50.88084717,1.307977856,-137781000
2021/3/25,228.2238312,34061900,46.76743758,-2.019995239,-171842900
2021/3/26,232.2904816,25479900,52.28027483,0.30964532,-146363000
2021/3/29,231.0724487,25227500,50.59033141,0.183112004,-171590500
2021/3/30,227.7425232,24792000,46.19409557,-2.465187059,-196382500
2021/3/31,231.5930634,43623500,51.4481117,-0.535773301,-152759000
2021/4/1,238.056488,30338000,58.73253216,5.040737003,-122421000
2021/4/5,244.6574402,36910600,64.57766796,8.126769786,-85510400
2021/4/6,243.4688873,22931900,62.85143819,5.029868982,-108442300
2021/4/7,245.4727325,22719800,64.57095356,5.185632462,-85722500
2021/4/8,248.763382,23625200,67.25169548,7.555420414,-62097300
2021/4/9,251.3173218,24326800,69.1995914,10.11879017,-37770500
2021/4/12,251.3762665,27148700,69.2450599,8.216343943,-10621800
2021/4/13,253.9105377,23837500,71.21271021,9.883518833,13215700
2021/4/14,251.0619202,23070900,66.09399716,10.23936885,-9855200
2021/4/15,254.9026489,25627500,69.29827537,10.06488935,15772300
2021/4/16,256.1206665,24878600,70.25821785,7.588189936,40650900
2021/4/19,254.1560974,23209300,66.63904252,3.882431378,17441600
2021/4/20,253.6846466,19722900,65.76355187,4.195919811,-2281300
2021/4/21,255.9635315,24030400,67.95510643,4.273712539,21749100
2021/4/22,252.6139679,25606200,61.70307809,1.547890975,-3857100
2021/4/23,256.5234375,21462600,65.67272981,2.071530799,17605500
2021/4/26,256.9163513,19763300,66.05357348,2.203901314,37368800
2021/4/27,257.3289185,31014200,66.47417321,1.346293371,68383000
2021/4/28,250.0501862,46903100,53.80747712,-0.402981865,21479900
2021/4/29,248.0365143,40589000,50.91686573,-2.693630165,-19109100
2021/4/30,247.712326,30945100,50.44699799,-3.282960555,-50054200
2021/5/3,247.397995,19626600,49.96553903,-2.659036114,-69680800
2021/5/4,243.4001007,32756100,44.18901049,-4.05406714,-102436900
2021/5/5,242.1035309,21901300,42.47399235,-5.414834109,-124338200
2021/5/6,245.3057404,26491100,47.85659522,-2.893041743,-97847100
2021/5/7,247.9873962,27032900,51.91431372,-3.327587273,-70814200
2021/5/10,242.8009338,29299900,44.67352864,-5.494168591,-100114100
2021/5/11,241.8677521,33641600,43.49796229,-6.008328358,-133755700
2021/5/12,234.7658386,36684400,35.7810468,-6.11251196,-170440100
2021/5/13,238.7244568,29624300,41.96180367,-3.754309127,-140815800
2021/5/14,243.7537079,23901100,48.71505238,-1.598070725,-116914700
2021/5/17,240.8363495,24970200,45.41394809,-2.65226301,-141884900
2021/5/18,238.7735596,20168000,43.18559075,-1.900796723,-162052900
2021/5/19,239.3642731,25739800,44.03250228,-1.13144067,-136313100
2021/5/20,242.6723785,21800700,48.64902891,-1.073501913,-114512400
2021/5/21,241.3826141,21863100,47.02054731,-2.663353946,-136375500
2021/5/24,246.9059906,21411500,54.10565986,1.690708803,-114964000
2021/5/25,247.8314514,17704300,55.18704632,2.465686016,-97259700
2021/5/26,247.6049957,17771600,54.84649657,5.468920512,-115031300
2021/5/27,245.4586945,24426200,51.59669082,2.820924911,-139457500
2021/5/28,245.8229523,18270200,52.11526215,0.84890786,-121187300
2021/6/1,243.5781708,23213300,48.65573036,1.13845825,-144400600
2021/6/2,243.4796906,19406700,48.50361043,1.970959846,-163807300
2021/6/3,241.9142914,25307700,46.03958997,1.065329541,-189115000
2021/6/4,246.9157867,25281100,54.06824404,1.748616068,-163833900
2021/6/7,249.8891754,23079200,58.06309327,3.524098581,-140754700
2021/6/8,248.6683197,22455000,55.91280844,0.713765226,-163209700
2021/6/9,249.6725464,17937600,57.31317514,0.74288189,-145272100
2021/6/10,253.2661743,24563600,61.96858444,2.286374947,-120708500
2021/6/11,253.9061584,18999700,62.74776327,3.44150123,-101708800
2021/6/14,255.8752441,19150500,65.11587704,4.08924056,-82558300
2021/6/15,254.3688507,18038900,61.87527408,4.430068547,-100597200
2021/6/16,253.4039917,27220000,59.82171174,4.076028323,-127817200
2021/6/17,256.8696289,27565500,64.39292031,6.182081033,-100251700
2021/6/18,255.4223785,37202200,61.25854129,3.445138891,-137453900
2021/6/21,258.5729065,26696100,65.22665585,3.475032908,-110757800
2021/6/22,261.4084473,24694100,68.36705665,5.123341638,-86063700
2021/6/23,261.1720886,19518700,67.81726371,4.605849703,-105582400
2021/6/24,262.5701599,21446900,69.38553593,3.673599769,-84135500
2021/6/25,260.9259644,25611100,65.35217257,2.764724555,-109746600
2021/6/28,264.5688477,19590000,69.57245731,3.397594615,-90156600
2021/6/29,267.207428,19937800,72.21257781,5.047228556,-70218800
2021/6/30,266.7151184,21656500,70.97516132,5.252927004,-91875300
2021/7/1,267.4042969,16725300,71.70608856,4.10117304,-75150000
2021/7/2,273.3609009,26458000,77.07879878,7.023081705,-48692000
2021/7/6,273.3707275,31565600,77.08652885,5.722881506,-17126400
2021/7/7,275.6056519,23260000,78.83480366,5.431042776,6133600
2021/7/8,273.1344299,24618600,72.26877023,4.580252573,-18485000
2021/7/9,273.6463928,23916700,72.77467593,4.218389825,5431700
2021/7/12,273.0359497,18931700,71.1089029,4.641157648,-13500000
2021/7/13,276.6394653,26120100,74.77889809,4.562373001,12620100
2021/7/14,278.1458435,23113700,76.14318648,4.093604587,35733800
2021/7/15,276.6886597,22604200,72.08128255,3.739398546,13129600
2021/7/16,276.4129639,26186800,71.30623809,3.368931277,-13057200
2021/7/19,272.7307739,32935600,61.75543268,-0.230511003,-45992800
2021/7/20,275.0050964,26259700,64.88401689,0.597858048,-19733100
2021/7/21,277.052948,24364300,67.46486154,0.525132969,4631200
2021/7/22,281.7197266,23384100,72.43645404,3.14324951,28015300
2021/7/23,285.1951904,22768100,75.44565681,4.220336138,50783400
2021/7/26,284.5847473,23176100,73.91917862,4.229771801,27607300
2021/7/27,282.1135559,33604100,67.92750826,1.978781505,-5996800
2021/7/28,281.7984924,33566900,67.17984483,1.313213557,-39563700
2021/7/29,282.0741882,18168300,67.51677229,1.946421863,-21395400
2021/7/30,280.5087585,20944800,63.52877935,1.481766492,-42340200
2021/8/2,280.4201355,16267400,63.30082396,2.819396382,-58607600
2021/8/3,282.6846008,17879000,66.59878349,2.792495301,-40728600
2021/8/4,282.0840149,16191300,64.93213933,1.815922527,-56919900
2021/8/5,285.0474854,13900200,69.04812354,1.181230306,-43019700
2021/8/6,284.9884033,16589300,68.8745583,-0.072507222,-59609000
2021/8/9,283.8758545,16117600,65.53394994,-0.249097265,-75726600
2021/8/10,282.0151062,18616600,60.26878026,-0.034897191,-94343200
2021/8/11,282.5171814,13955900,61.17518311,0.255036483,-80387300
2021/8/12,285.3330383,14561300,65.8769749,1.155316663,-65826000
2021/8/13,288.3261108,18249000,70.03140702,2.786847846,-47577000
2021/8/16,290.0490417,22507600,72.13453518,3.433742813,-25069400
2021/8/17,288.5524902,20075300,67.69090221,2.07577257,-45144700
2021/8/18,286.7868347,21813000,62.77733598,1.667169912,-66957700
2021/8/19,292.744873,29850500,70.54665757,2.700387862,-37107200
2021/8/20,300.2319336,40817600,77.03384765,5.348824758,3710400
2021/8/23,300.5180054,22830200,77.24011969,5.862474957,26540600
2021/8/24,298.5155029,18175800,72.34204265,5.850891093,8364800
2021/8/25,297.9138184,20006100,70.88747907,5.449805526,-11641300
2021/8/26,295.0333862,17666100,64.22939563,3.399658153,-29307400
2021/8/27,295.6548462,22605700,64.9933552,2.541821596,-6701700
2021/8/30,299.4723816,16348100,69.3270144,3.248878116,9646400
2021/8/31,297.785614,26285300,65.47040086,3.199807346,-16638900
2021/9/1,297.7362061,18983800,65.35571403,3.817947692,-35622700
2021/9/2,297.0654602,16285600,63.7237315,1.475888241,-51908300
2021/9/3,297.0556641,14747900,63.69871398,-1.057938605,-66656200
2021/9/7,296.1086121,17180400,61.19733711,-1.467264268,-83836600
2021/9/8,296.1381836,15046800,61.24850784,-0.796380527,-68789800
2021/9/9,293.2183533,19927000,53.71611268,-1.576115238,-88716800
2021/9/10,291.6992188,19633400,50.25332632,-1.130098367,-108350200
2021/9/13,292.9618225,23652900,52.96712825,-0.910867424,-84697300
2021/9/14,295.7239075,21853400,58.32338271,-1.251692761,-62843900
2021/9/15,300.68573,28356300,65.84772037,0.973893912,-34487600
2021/9/16,301.0802917,19550800,66.36770532,1.123170654,-14936800
2021/9/17,295.8028564,41372500,54.43042479,-0.425025433,-56309300
2021/9/20,290.3083801,38278700,45.2957319,-2.271387067,-94588000
2021/9/21,290.8015747,22364100,46.16902721,-1.792260386,-72223900
2021/9/22,294.530304,26626300,52.36100948,-0.542949112,-45597600
2021/9/23,295.4970093,18604600,53.84335569,0.777119161,-26993000
2021/9/24,295.2898865,14999000,53.45953291,1.230948694,-41992000
2021/9/27,290.1801758,23571700,44.94710527,-0.949491202,-65563700
2021/9/28,279.6745605,43186200,33.23103428,-5.4271388,-108749900
2021/9/29,280.1480713,26353700,34.06526762,-6.830273819,-82396200
